complaint_id,fraud_type,transaction_amount,transaction_count,complaint_count,location,latitude,longitude,location_risk,withdrawal_distance,withdrawal_hour,previous_cases,hotspot
CP-00022,Phishing,88539,11,12,Nashik,19.9975,73.7898,0.44,26.12,3,7,0
CP-00023,UPI Fraud,44813,1,19,Pune,18.5204,73.8567,0.55,29.63,0,2,0
CP-00024,Identity Theft,9334,15,2,Mumbai,19.076,72.8777,0.86,4.01,7,8,1
CP-00025,Phishing,71178,3,19,Mumbai,19.076,72.8777,0.58,12.53,15,13,0
CP-00026,UPI Fraud,13204,11,14,Pune,18.5204,73.8567,0.35,20.85,23,1,0
CP-00027,Online Shopping Fraud,53272,12,11,Pune,18.5204,73.8567,0.8,5.91,6,6,1
CP-00028,Online Shopping Fraud,18873,7,6,Nashik,19.9975,73.7898,0.28,12.87,2,14,0
CP-00029,Identity Theft,7130,11,18,Pune,18.5204,73.8567,0.84,48.47,7,5,1
CP-00030,Investment Fraud,63592,4,13,Nashik,19.9975,73.7898,0.9,8.65,0,12,1
CP-00031,Phishing,60138,5,14,Aurangabad,19.8762,75.3433,0.7,36.66,17,15,0
CP-00032,UPI Fraud,39390,4,2,Mumbai,19.076,72.8777,0.58,27.34,23,10,0
CP-00033,Phishing,77069,8,17,Pune,18.5204,73.8567,0.92,26.79,1,2,1
CP-00034,Online Shopping Fraud,78492,2,8,Pune,18.5204,73.8567,0.4,47.11,18,7,0
CP-00035,Investment Fraud,5709,10,3,Thane,19.2183,72.9781,0.42,29.39,16,10,0
CP-00036,Identity Theft,88282,12,11,Mumbai,19.076,72.8777,0.24,20.09,21,9,0
CP-00037,UPI Fraud,99048,15,3,Nagpur,21.1458,79.0882,0.01,31.25,18,3,0
CP-00038,Investment Fraud,28438,9,9,Thane,19.2183,72.9781,0.13,17.78,2,7,0
CP-00039,Online Shopping Fraud,21176,8,18,Nagpur,21.1458,79.0882,0.7,30.78,20,0,0
CP-00040,Investment Fraud,87451,2,5,Nagpur,21.1458,79.0882,0.26,44.54,23,4,0
CP-00041,Investment Fraud,79776,4,11,Nagpur,21.1458,79.0882,0.2,31.89,8,15,0
CP-00042,Investment Fraud,7158,2,14,Aurangabad,19.8762,75.3433,0.83,2.68,10,4,1
CP-00043,Phishing,97654,8,18,Mumbai,19.076,72.8777,0.71,28.26,3,2,1
CP-00044,Investment Fraud,5222,14,12,Thane,19.2183,72.9781,0.58,7.83,4,1,1
CP-00045,Online Shopping Fraud,5729,15,12,Nagpur,21.1458,79.0882,0.21,12.85,3,11,0
CP-00046,Identity Theft,53764,10,5,Aurangabad,19.8762,75.3433,0.93,12.22,5,5,1
CP-00047,Investment Fraud,24009,12,11,Pune,18.5204,73.8567,0.78,20.88,21,7,1
CP-00048,Identity Theft,92417,2,13,Mumbai,19.076,72.8777,0.87,43.0,7,6,0
CP-00049,Investment Fraud,40501,14,8,Nagpur,21.1458,79.0882,0.22,33.17,12,10,0
CP-00050,UPI Fraud,9599,13,9,Aurangabad,19.8762,75.3433,0.35,25.72,21,10,0
CP-00051,Investment Fraud,34737,3,19,Pune,18.5204,73.8567,0.96,13.64,3,13,1
CP-00052,Investment Fraud,41614,7,20,Kolhapur,16.705,74.2433,0.98,6.22,18,6,1
CP-00053,Investment Fraud,93401,7,1,Pune,18.5204,73.8567,0.52,40.42,21,6,0
CP-00054,Online Shopping Fraud,9671,11,11,Nashik,19.9975,73.7898,0.62,33.34,3,9,1
CP-00055,Identity Theft,87910,7,11,Nagpur,21.1458,79.0882,0.4,15.13,4,6,0
CP-00056,Investment Fraud,50195,11,6,Kolhapur,16.705,74.2433,0.62,15.4,17,0,0
CP-00057,Phishing,28049,7,19,Nagpur,21.1458,79.0882,0.61,16.45,14,14,0
CP-00058,UPI Fraud,62521,13,6,Thane,19.2183,72.9781,0.66,14.55,21,10,0
CP-00059,Phishing,98953,4,10,Aurangabad,19.8762,75.3433,0.22,10.36,0,1,0
CP-00060,Identity Theft,80620,14,3,Nashik,19.9975,73.7898,0.46,44.36,18,6,0
CP-00061,Phishing,52883,4,5,Nashik,19.9975,73.7898,0.66,0.77,3,13,1
CP-00062,Phishing,91714,9,15,Mumbai,19.076,72.8777,0.05,12.84,3,14,0
CP-00063,Online Shopping Fraud,61401,11,17,Aurangabad,19.8762,75.3433,0.99,29.97,14,13,1
CP-00064,Online Shopping Fraud,21361,12,16,Nashik,19.9975,73.7898,0.45,37.71,20,8,0
CP-00065,Investment Fraud,82649,4,9,Nashik,19.9975,73.7898,0.44,35.82,7,8,0
CP-00066,UPI Fraud,71298,2,5,Nagpur,21.1458,79.0882,0.15,19.46,4,6,0
CP-00067,Online Shopping Fraud,53924,6,18,Nashik,19.9975,73.7898,0.47,3.58,13,12,1
CP-00068,Identity Theft,3060,14,19,Kolhapur,16.705,74.2433,0.38,0.79,11,9,1
CP-00069,Investment Fraud,55421,9,18,Aurangabad,19.8762,75.3433,0.8,44.94,15,7,1
CP-00070,Identity Theft,64154,1,13,Nashik,19.9975,73.7898,0.34,34.12,12,5,0
CP-00071,UPI Fraud,82060,9,1,Mumbai,19.076,72.8777,0.91,29.8,21,0,0
CP-00072,Identity Theft,56679,3,15,Kolhapur,16.705,74.2433,0.18,13.38,10,6,0
CP-00073,UPI Fraud,44736,13,13,Nagpur,21.1458,79.0882,0.28,47.58,13,8,0
CP-00074,UPI Fraud,3040,12,18,Nashik,19.9975,73.7898,0.05,47.62,7,2,0
CP-00075,Identity Theft,4567,4,7,Aurangabad,19.8762,75.3433,0.84,31.26,7,4,0
CP-00076,Online Shopping Fraud,15493,10,7,Kolhapur,16.705,74.2433,0.47,13.18,11,5,0
CP-00077,Online Shopping Fraud,98532,12,4,Thane,19.2183,72.9781,0.78,8.61,9,3,0
CP-00078,UPI Fraud,41388,10,13,Pune,18.5204,73.8567,0.4,35.89,2,7,0
CP-00079,Investment Fraud,40029,14,20,Kolhapur,16.705,74.2433,0.81,39.91,18,1,1
CP-00080,Identity Theft,56648,11,12,Thane,19.2183,72.9781,0.07,32.55,0,13,0
CP-00081,Online Shopping Fraud,57322,6,15,Pune,18.5204,73.8567,0.71,22.06,23,8,1
CP-00082,Investment Fraud,71039,13,16,Aurangabad,19.8762,75.3433,0.46,41.37,18,8,0
CP-00083,Investment Fraud,32677,14,3,Aurangabad,19.8762,75.3433,0.28,22.81,14,12,0
CP-00084,Investment Fraud,65289,14,11,Pune,18.5204,73.8567,0.18,11.0,8,10,0
CP-00085,Phishing,92405,15,9,Thane,19.2183,72.9781,0.56,26.07,6,2,0
CP-00086,Identity Theft,53771,8,18,Kolhapur,16.705,74.2433,0.76,34.69,20,15,1
CP-00087,Identity Theft,2760,2,10,Aurangabad,19.8762,75.3433,0.22,34.74,9,11,0
CP-00088,Investment Fraud,70088,6,14,Thane,19.2183,72.9781,1.0,27.74,11,14,1
CP-00089,Phishing,33451,4,4,Nagpur,21.1458,79.0882,0.72,16.12,23,5,0
CP-00090,UPI Fraud,97310,8,9,Mumbai,19.076,72.8777,0.72,48.84,16,9,0
CP-00091,Investment Fraud,25943,5,8,Aurangabad,19.8762,75.3433,0.36,15.46,22,4,0
CP-00092,UPI Fraud,7646,9,10,Pune,18.5204,73.8567,0.7,6.75,15,3,0
CP-00093,Identity Theft,37768,8,16,Thane,19.2183,72.9781,0.44,9.63,1,8,0
CP-00094,Phishing,9064,7,16,Pune,18.5204,73.8567,0.07,31.66,1,4,0
CP-00095,Online Shopping Fraud,74272,5,3,Aurangabad,19.8762,75.3433,0.99,6.36,13,7,0
CP-00096,Online Shopping Fraud,59549,15,15,Nashik,19.9975,73.7898,0.3,29.63,13,9,0
CP-00097,UPI Fraud,8394,10,4,Thane,19.2183,72.9781,0.95,10.79,6,8,1
CP-00098,Investment Fraud,31939,3,18,Mumbai,19.076,72.8777,0.08,0.63,14,15,0
CP-00099,Investment Fraud,30840,5,10,Pune,18.5204,73.8567,0.7,22.97,21,7,0
CP-00100,Investment Fraud,82427,10,7,Aurangabad,19.8762,75.3433,0.43,27.46,20,4,0
CP-00101,Identity Theft,19143,2,2,Aurangabad,19.8762,75.3433,0.17,15.73,23,9,0
CP-00102,Identity Theft,61933,12,10,Pune,18.5204,73.8567,0.7,47.16,16,15,1
CP-00103,Phishing,78885,1,14,Pune,18.5204,73.8567,0.73,30.38,0,2,0
CP-00104,Phishing,75892,10,1,Kolhapur,16.705,74.2433,1.0,33.78,8,1,0
CP-00105,Identity Theft,68521,11,15,Nashik,19.9975,73.7898,0.92,9.48,18,13,1
CP-00106,Identity Theft,62105,6,14,Pune,18.5204,73.8567,0.33,33.67,5,10,0
CP-00107,Investment Fraud,65442,5,13,Kolhapur,16.705,74.2433,0.81,27.73,14,2,0
CP-00108,Identity Theft,42872,2,13,Nagpur,21.1458,79.0882,0.86,41.33,0,14,1
CP-00109,Phishing,25086,9,12,Pune,18.5204,73.8567,0.62,25.18,14,1,0
CP-00110,Online Shopping Fraud,72487,3,10,Nagpur,21.1458,79.0882,0.44,35.06,3,0,0
CP-00111,Phishing,31865,12,6,Aurangabad,19.8762,75.3433,0.31,1.18,13,2,0
CP-00112,Online Shopping Fraud,15371,8,4,Aurangabad,19.8762,75.3433,0.65,8.12,22,9,0
CP-00113,Identity Theft,36338,7,16,Kolhapur,16.705,74.2433,0.98,12.56,17,4,1
CP-00114,Online Shopping Fraud,79061,9,5,Mumbai,19.076,72.8777,0.86,14.17,13,10,0
CP-00115,Phishing,836,5,10,Nagpur,21.1458,79.0882,0.84,29.21,21,15,1
CP-00116,Investment Fraud,71092,8,12,Nashik,19.9975,73.7898,0.33,38.26,12,14,0
CP-00117,Investment Fraud,25227,12,8,Aurangabad,19.8762,75.3433,0.57,12.06,13,1,0
CP-00118,Identity Theft,62493,12,13,Kolhapur,16.705,74.2433,0.39,33.35,20,4,0
CP-00119,Online Shopping Fraud,17047,9,19,Pune,18.5204,73.8567,0.33,5.47,14,3,0
CP-00120,Identity Theft,2511,12,5,Nashik,19.9975,73.7898,0.41,32.91,4,2,0
CP-00121,Investment Fraud,35237,6,20,Aurangabad,19.8762,75.3433,0.69,32.67,10,12,1
CP-00122,Investment Fraud,94703,15,16,Kolhapur,16.705,74.2433,0.87,2.28,2,7,1
CP-00123,Identity Theft,98380,2,14,Mumbai,19.076,72.8777,0.98,38.14,22,3,0
CP-00124,Investment Fraud,91464,5,1,Mumbai,19.076,72.8777,0.05,39.91,9,11,0
CP-00125,Phishing,19580,4,17,Nashik,19.9975,73.7898,0.41,34.25,5,5,0
CP-00126,Phishing,80387,14,13,Pune,18.5204,73.8567,0.62,12.42,18,4,0
CP-00127,Online Shopping Fraud,84111,5,15,Nashik,19.9975,73.7898,0.26,0.97,14,9,0
CP-00128,Identity Theft,10181,8,12,Mumbai,19.076,72.8777,0.99,15.31,13,8,1
CP-00129,Online Shopping Fraud,40099,4,13,Aurangabad,19.8762,75.3433,0.85,5.78,12,11,1
CP-00130,Online Shopping Fraud,92155,5,1,Nagpur,21.1458,79.0882,0.98,33.08,8,0,0
CP-00131,Online Shopping Fraud,90389,13,2,Aurangabad,19.8762,75.3433,0.91,37.39,9,7,1
CP-00132,UPI Fraud,46679,4,7,Aurangabad,19.8762,75.3433,0.62,34.05,23,4,0
CP-00133,UPI Fraud,85217,1,10,Kolhapur,16.705,74.2433,0.79,2.15,11,4,0
CP-00134,Online Shopping Fraud,43323,12,14,Nagpur,21.1458,79.0882,0.18,7.04,17,11,0
CP-00135,Investment Fraud,36220,14,6,Thane,19.2183,72.9781,0.26,41.32,15,9,0
CP-00136,Online Shopping Fraud,15595,8,3,Aurangabad,19.8762,75.3433,0.14,48.34,21,12,0
CP-00137,Investment Fraud,12336,13,13,Nagpur,21.1458,79.0882,0.01,27.06,14,11,0
CP-00138,Online Shopping Fraud,50441,14,12,Thane,19.2183,72.9781,0.11,12.07,0,10,0
CP-00139,Phishing,85389,2,15,Mumbai,19.076,72.8777,0.91,15.46,13,3,0
CP-00140,Identity Theft,5377,5,16,Pune,18.5204,73.8567,0.12,12.12,17,4,0
CP-00141,UPI Fraud,49129,11,18,Nashik,19.9975,73.7898,0.42,37.24,4,13,1
CP-00142,Phishing,64639,10,14,Aurangabad,19.8762,75.3433,0.94,14.35,22,11,1
CP-00143,UPI Fraud,58787,4,12,Nashik,19.9975,73.7898,0.1,34.44,17,11,0
CP-00144,Online Shopping Fraud,36660,4,4,Nashik,19.9975,73.7898,0.95,41.3,2,6,1
CP-00145,UPI Fraud,7129,13,11,Pune,18.5204,73.8567,0.24,6.73,18,6,0
CP-00146,Online Shopping Fraud,73141,4,19,Aurangabad,19.8762,75.3433,0.22,43.55,10,4,0
CP-00147,UPI Fraud,36842,14,5,Pune,18.5204,73.8567,0.99,27.24,5,3,1
CP-00148,Phishing,2447,6,8,Mumbai,19.076,72.8777,0.59,1.28,8,1,0
CP-00149,Identity Theft,55676,9,4,Kolhapur,16.705,74.2433,0.75,24.07,11,3,0
CP-00150,Identity Theft,29538,10,2,Thane,19.2183,72.9781,0.73,45.48,21,9,0
CP-00151,Identity Theft,4582,1,16,Kolhapur,16.705,74.2433,0.85,21.6,3,15,1
CP-00152,Identity Theft,11089,6,20,Pune,18.5204,73.8567,0.15,6.75,19,10,0
CP-00153,Online Shopping Fraud,70041,5,15,Thane,19.2183,72.9781,0.51,21.79,22,3,0
CP-00154,Identity Theft,28683,7,15,Kolhapur,16.705,74.2433,0.89,20.98,14,12,1
CP-00155,UPI Fraud,12963,6,14,Kolhapur,16.705,74.2433,0.31,13.12,4,15,0
CP-00156,Online Shopping Fraud,11688,2,14,Pune,18.5204,73.8567,0.1,37.07,4,1,0
CP-00157,Investment Fraud,74120,6,4,Thane,19.2183,72.9781,0.41,43.74,13,1,0
CP-00158,Phishing,41453,6,4,Thane,19.2183,72.9781,0.58,11.03,21,15,0
CP-00159,Identity Theft,14684,6,18,Aurangabad,19.8762,75.3433,0.37,38.25,18,7,0
CP-00160,UPI Fraud,74026,13,20,Aurangabad,19.8762,75.3433,0.61,32.31,0,8,1
CP-00161,Online Shopping Fraud,36318,12,10,Mumbai,19.076,72.8777,0.92,17.88,5,4,1
CP-00162,Identity Theft,53031,2,5,Kolhapur,16.705,74.2433,0.74,48.6,2,6,0
CP-00163,UPI Fraud,59960,6,6,Nashik,19.9975,73.7898,0.37,36.22,18,2,0
CP-00164,Identity Theft,21132,13,20,Mumbai,19.076,72.8777,0.05,4.54,14,13,0
CP-00165,UPI Fraud,58439,7,9,Thane,19.2183,72.9781,0.22,25.86,11,13,0
CP-00166,Identity Theft,89395,11,19,Nagpur,21.1458,79.0882,0.49,33.52,1,7,1
CP-00167,Investment Fraud,7680,1,7,Thane,19.2183,72.9781,0.3,10.96,4,8,0
CP-00168,Online Shopping Fraud,16226,1,16,Nagpur,21.1458,79.0882,0.75,9.2,12,7,0
CP-00169,UPI Fraud,88062,13,12,Thane,19.2183,72.9781,0.07,43.16,1,13,0
CP-00170,Investment Fraud,10705,14,11,Nashik,19.9975,73.7898,0.58,28.88,22,13,0
CP-00171,UPI Fraud,53588,1,11,Pune,18.5204,73.8567,0.17,47.41,14,11,0
CP-00172,Investment Fraud,14375,4,14,Nashik,19.9975,73.7898,0.59,26.44,12,9,0
CP-00173,Investment Fraud,44155,13,6,Mumbai,19.076,72.8777,0.08,31.84,16,6,0
CP-00174,Online Shopping Fraud,95839,14,5,Nagpur,21.1458,79.0882,0.24,7.75,6,5,0
CP-00175,Online Shopping Fraud,86418,2,6,Mumbai,19.076,72.8777,0.95,31.58,14,14,0
CP-00176,UPI Fraud,83769,10,11,Kolhapur,16.705,74.2433,0.86,31.55,4,14,1
CP-00177,Investment Fraud,58461,11,10,Nashik,19.9975,73.7898,0.8,29.78,11,2,0
CP-00178,Online Shopping Fraud,59733,1,2,Nashik,19.9975,73.7898,0.37,14.71,20,2,0
CP-00179,Identity Theft,66962,7,15,Thane,19.2183,72.9781,0.58,47.73,23,1,0
CP-00180,Identity Theft,75428,11,7,Aurangabad,19.8762,75.3433,0.32,24.04,4,1,0
CP-00181,Identity Theft,45515,12,3,Pune,18.5204,73.8567,0.5,9.04,7,14,0
CP-00182,Investment Fraud,69017,10,6,Thane,19.2183,72.9781,0.36,45.94,12,13,0
CP-00183,Investment Fraud,78866,1,11,Kolhapur,16.705,74.2433,0.07,5.18,21,12,0
CP-00184,Investment Fraud,95361,14,20,Nagpur,21.1458,79.0882,0.87,17.0,18,4,1
CP-00185,Online Shopping Fraud,86490,12,13,Nagpur,21.1458,79.0882,0.13,35.59,2,9,0
CP-00186,Identity Theft,84843,13,11,Nashik,19.9975,73.7898,0.81,33.67,23,2,1
CP-00187,Phishing,47925,1,12,Thane,19.2183,72.9781,0.31,47.58,10,15,0
CP-00188,Investment Fraud,18530,3,3,Mumbai,19.076,72.8777,0.3,39.51,16,1,0
CP-00189,Identity Theft,81506,3,20,Aurangabad,19.8762,75.3433,0.38,8.53,22,5,0
CP-00190,Phishing,54352,6,8,Pune,18.5204,73.8567,0.97,30.72,23,14,1
CP-00191,Identity Theft,31848,5,16,Thane,19.2183,72.9781,0.9,10.1,21,14,1
CP-00192,Online Shopping Fraud,37432,13,13,Aurangabad,19.8762,75.3433,0.5,21.22,5,6,1
CP-00193,Investment Fraud,33268,1,16,Mumbai,19.076,72.8777,0.87,27.95,3,3,1
CP-00194,Phishing,21512,5,15,Pune,18.5204,73.8567,0.91,7.79,13,2,0
CP-00195,Phishing,59630,15,12,Aurangabad,19.8762,75.3433,0.93,21.04,12,11,1
CP-00196,Phishing,11196,6,8,Nashik,19.9975,73.7898,0.03,46.58,22,10,0
CP-00197,Identity Theft,5520,5,16,Mumbai,19.076,72.8777,0.7,7.37,22,15,1
CP-00198,UPI Fraud,1188,15,3,Thane,19.2183,72.9781,0.02,11.17,4,13,0
CP-00199,UPI Fraud,38262,4,10,Aurangabad,19.8762,75.3433,0.12,12.3,20,14,0
CP-00200,Investment Fraud,66013,10,18,Pune,18.5204,73.8567,0.02,26.01,7,4,0
CP-00201,Online Shopping Fraud,705,10,12,Nashik,19.9975,73.7898,0.24,21.12,21,2,0
CP-00202,Identity Theft,9370,9,18,Nagpur,21.1458,79.0882,0.51,49.42,17,0,0
CP-00203,UPI Fraud,62121,1,13,Aurangabad,19.8762,75.3433,0.98,13.06,0,11,1
CP-00204,UPI Fraud,32104,12,4,Nagpur,21.1458,79.0882,0.77,36.89,10,4,0
CP-00205,Phishing,72067,6,6,Nagpur,21.1458,79.0882,0.83,34.39,22,15,0
CP-00206,Investment Fraud,18175,2,15,Aurangabad,19.8762,75.3433,0.04,10.48,6,1,0
CP-00207,Investment Fraud,68052,7,18,Nagpur,21.1458,79.0882,0.47,2.31,20,6,0
CP-00208,Identity Theft,6765,14,11,Nagpur,21.1458,79.0882,0.27,40.07,13,12,0
CP-00209,UPI Fraud,44938,3,16,Nashik,19.9975,73.7898,0.69,18.68,16,8,0
CP-00210,Investment Fraud,56140,2,14,Kolhapur,16.705,74.2433,0.6,41.21,17,9,0
CP-00211,Identity Theft,10994,6,10,Pune,18.5204,73.8567,0.31,30.33,13,5,0
CP-00212,UPI Fraud,59106,1,12,Nagpur,21.1458,79.0882,0.61,22.03,20,1,0
CP-00213,Phishing,84060,7,12,Kolhapur,16.705,74.2433,0.51,37.62,5,0,0
CP-00214,Investment Fraud,80135,11,15,Aurangabad,19.8762,75.3433,0.03,3.83,20,11,0
CP-00215,Identity Theft,74849,1,20,Nashik,19.9975,73.7898,0.15,22.77,11,11,0
CP-00216,Phishing,10577,10,5,Aurangabad,19.8762,75.3433,0.53,20.2,20,8,0
CP-00217,Investment Fraud,3896,12,6,Pune,18.5204,73.8567,0.5,19.66,17,3,0
CP-00218,Phishing,34616,12,15,Aurangabad,19.8762,75.3433,0.21,30.79,22,15,0
CP-00219,Investment Fraud,18290,14,3,Pune,18.5204,73.8567,0.45,44.98,14,2,0
CP-00220,Phishing,46037,12,3,Kolhapur,16.705,74.2433,0.55,14.87,9,5,0
CP-00221,Identity Theft,47881,9,8,Aurangabad,19.8762,75.3433,0.12,10.45,4,7,0
CP-00222,Online Shopping Fraud,47803,9,19,Pune,18.5204,73.8567,0.37,40.28,17,4,0
CP-00223,Identity Theft,9117,5,13,Pune,18.5204,73.8567,1.0,36.08,16,13,1
CP-00224,Online Shopping Fraud,75853,2,5,Aurangabad,19.8762,75.3433,0.97,32.3,14,14,0
CP-00225,Online Shopping Fraud,17321,15,18,Nagpur,21.1458,79.0882,0.64,9.51,4,13,1
CP-00226,Phishing,7763,14,4,Aurangabad,19.8762,75.3433,0.52,15.55,5,10,0
CP-00227,Phishing,68512,15,10,Nagpur,21.1458,79.0882,0.85,12.9,20,8,1
CP-00228,Phishing,40191,10,18,Kolhapur,16.705,74.2433,0.09,32.23,18,4,0
CP-00229,UPI Fraud,82351,12,20,Kolhapur,16.705,74.2433,0.34,46.23,1,0,0
CP-00230,Online Shopping Fraud,84576,13,19,Pune,18.5204,73.8567,0.26,10.94,18,13,0
CP-00231,Identity Theft,4469,8,18,Kolhapur,16.705,74.2433,0.29,47.85,15,7,0
CP-00232,Investment Fraud,59946,2,2,Nagpur,21.1458,79.0882,0.16,21.07,14,6,0
CP-00233,Investment Fraud,19330,6,11,Thane,19.2183,72.9781,0.73,43.11,12,4,0
CP-00234,Phishing,74116,2,11,Thane,19.2183,72.9781,0.24,6.56,14,7,0
CP-00235,Online Shopping Fraud,7132,5,13,Pune,18.5204,73.8567,0.86,21.2,5,10,1
CP-00236,Identity Theft,41488,4,6,Kolhapur,16.705,74.2433,0.5,25.98,15,9,0
CP-00237,UPI Fraud,12302,7,17,Pune,18.5204,73.8567,0.46,12.42,18,11,0
CP-00238,Online Shopping Fraud,37377,8,20,Pune,18.5204,73.8567,0.88,32.89,15,9,1
CP-00239,UPI Fraud,14589,7,5,Pune,18.5204,73.8567,0.88,36.51,12,11,0
CP-00240,Online Shopping Fraud,7205,10,18,Nashik,19.9975,73.7898,0.19,27.88,2,12,0
CP-00241,Investment Fraud,72570,5,20,Nashik,19.9975,73.7898,0.68,6.38,3,12,1
CP-00242,Online Shopping Fraud,44944,9,12,Aurangabad,19.8762,75.3433,0.75,10.35,16,12,1
CP-00243,Phishing,6438,1,5,Pune,18.5204,73.8567,0.71,40.3,16,14,0
CP-00244,Online Shopping Fraud,68068,3,11,Thane,19.2183,72.9781,0.93,16.27,12,9,0
CP-00245,UPI Fraud,66994,14,17,Nagpur,21.1458,79.0882,0.53,35.58,9,15,1
CP-00246,Online Shopping Fraud,43916,11,4,Nagpur,21.1458,79.0882,0.98,29.39,23,0,1
CP-00247,Phishing,35303,11,19,Nashik,19.9975,73.7898,0.58,36.21,18,15,1
CP-00248,UPI Fraud,82947,12,20,Thane,19.2183,72.9781,0.77,19.32,21,7,1
CP-00249,Phishing,92318,2,7,Thane,19.2183,72.9781,0.02,16.03,4,13,0
CP-00250,Phishing,66274,13,20,Nashik,19.9975,73.7898,0.92,43.7,23,1,1
CP-00251,Phishing,27676,9,11,Thane,19.2183,72.9781,1.0,24.18,12,10,1
CP-00252,Online Shopping Fraud,70378,6,18,Nashik,19.9975,73.7898,0.35,38.71,23,8,0
CP-00253,Phishing,25700,4,9,Nashik,19.9975,73.7898,0.56,11.63,9,9,0
CP-00254,Investment Fraud,92904,8,11,Kolhapur,16.705,74.2433,0.48,28.24,23,8,0
CP-00255,Investment Fraud,75666,11,18,Pune,18.5204,73.8567,0.38,49.02,11,4,0
CP-00256,Phishing,38200,12,3,Pune,18.5204,73.8567,0.35,22.4,8,15,0
CP-00257,Phishing,71092,5,18,Mumbai,19.076,72.8777,0.7,7.3,19,7,0
CP-00258,Investment Fraud,88296,15,17,Pune,18.5204,73.8567,0.23,12.03,3,13,1
CP-00259,Identity Theft,62418,2,5,Kolhapur,16.705,74.2433,0.01,27.74,5,13,0
CP-00260,Online Shopping Fraud,85767,4,10,Nashik,19.9975,73.7898,0.32,32.47,2,7,0
CP-00261,Identity Theft,95280,14,2,Kolhapur,16.705,74.2433,0.91,9.17,5,1,1
CP-00262,Investment Fraud,65430,3,10,Aurangabad,19.8762,75.3433,0.88,0.96,18,3,1
CP-00263,Investment Fraud,60052,11,18,Nagpur,21.1458,79.0882,0.52,44.52,4,14,1
CP-00264,UPI Fraud,15264,6,6,Mumbai,19.076,72.8777,0.73,32.59,22,5,0
CP-00265,Identity Theft,44685,13,10,Kolhapur,16.705,74.2433,0.57,37.99,5,12,1
CP-00266,Investment Fraud,43482,2,13,Thane,19.2183,72.9781,0.67,9.65,4,15,1
CP-00267,Online Shopping Fraud,1395,5,13,Mumbai,19.076,72.8777,0.24,37.81,10,9,0
CP-00268,Identity Theft,75588,1,9,Kolhapur,16.705,74.2433,0.65,34.79,1,3,0
CP-00269,Investment Fraud,21434,7,17,Nagpur,21.1458,79.0882,0.92,44.45,9,3,1
CP-00270,Identity Theft,81060,4,8,Nagpur,21.1458,79.0882,0.96,24.17,14,11,1
CP-00271,Online Shopping Fraud,72489,15,16,Kolhapur,16.705,74.2433,0.76,40.2,6,7,1
CP-00272,UPI Fraud,11230,9,15,Aurangabad,19.8762,75.3433,0.53,18.41,18,3,0
CP-00273,Online Shopping Fraud,72281,15,17,Aurangabad,19.8762,75.3433,0.2,27.06,5,10,0
CP-00274,UPI Fraud,15735,11,7,Nashik,19.9975,73.7898,0.72,24.7,16,14,0
CP-00275,UPI Fraud,17794,9,14,Nashik,19.9975,73.7898,0.46,3.36,14,9,0
